ori,des,path,len,primary,secondary,tertiary,residential,unclassified
313,393,313_183_180_418_249_165_175_160_168_167_393,11,0,11,0,0,0
414,221,414_248_411_413_185_221,6,0,5,1,0,0
192,256,192_181_313_183_180_418_249_164_256,9,0,6,3,0,0
248,393,248_411_412_183_180_418_249_165_175_160_168_167_393,13,0,12,1,0,0
415,187,415_250_335_158_177_178_187,7,3,0,1,3,0
335,147,335_158_177_178_187_147,6,4,0,1,1,0
199,155,199_207_146_147_149_225_152_153_155,9,9,0,0,0,0
199,155,199_207_146_147_149_225_152_153_155,9,9,0,0,0,0
199,155,199_207_146_147_149_225_152_153_155,9,9,0,0,0,0
105,323,105_112_114_116_276_273_272_306_387_398_386_90_89_279_323,15,5,6,0,4,0
199,155,199_207_146_147_149_225_152_153_155,9,9,0,0,0,0
30,255,30_234_377_229_197_195_194_181_313_183_180_418_249_165_174_255,16,1,13,0,2,0
30,417,30_234_377_229_197_195_194_181_313_183_180_417,12,1,10,0,1,0
109,404,109_108_106_267_262_315_303_272_305_404,10,4,0,3,2,1
180,393,180_418_249_165_175_160_168_167_393,9,0,9,0,0,0
180,393,180_418_249_165_175_160_168_167_393,9,0,9,0,0,0
30,183,30_234_377_229_197_195_194_181_313_183,10,1,9,0,0,0
165,393,165_175_160_168_167_393,6,0,6,0,0,0
418,393,418_249_165_175_160_168_167_393,8,0,8,0,0,0
47,155,47_45_42_37_39_75_308_235_231_232_199_207_146_147_149_225_152_153_155,19,14,1,2,2,0
249,393,249_165_175_160_168_167_393,7,0,7,0,0,0
52,155,52_361_0_367_352_246_30_235_231_232_199_207_146_147_149_225_152_153_155,19,19,0,0,0,0
30,393,30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,19,1,18,0,0,0
30,393,30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,19,1,18,0,0,0
30,393,30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,19,1,18,0,0,0
301,89,301_276_273_272_306_387_398_386_90_89,10,5,4,0,1,0
249,393,249_165_175_160_168_167_393,7,0,7,0,0,0
30,225,30_235_231_232_199_207_146_147_149_225,10,10,0,0,0,0
75,155,75_308_235_231_232_199_207_146_147_149_225_152_153_155,14,14,0,0,0,0
165,393,165_175_160_168_167_393,6,0,6,0,0,0
418,393,418_249_165_175_160_168_167_393,8,0,8,0,0,0
165,393,165_175_160_168_167_393,6,0,6,0,0,0
165,393,165_175_160_168_167_393,6,0,6,0,0,0
156,393,156_165_175_160_168_167_393,7,0,6,1,0,0
156,393,156_165_175_160_168_167_393,7,0,6,1,0,0
156,393,156_165_175_160_168_167_393,7,0,6,1,0,0
165,393,165_175_160_168_167_393,6,0,6,0,0,0
210,239,210_201_233_243_237_239,6,6,0,0,0,0
210,279,210_201_233_244_34_33_31_358_40_50_20_23_73_22_329_89_279,17,10,7,0,0,0
210,239,210_201_233_243_237_239,6,6,0,0,0,0
210,279,210_201_233_244_34_33_31_358_40_50_20_23_73_22_329_89_279,17,10,7,0,0,0
210,239,210_201_233_243_237_239,6,6,0,0,0,0
188,239,188_189_210_201_233_243_237_239,8,8,0,0,0,0
145,239,145_210_201_233_243_237_239,7,6,0,0,1,0
188,239,188_189_210_201_233_243_237_239,8,8,0,0,0,0
189,239,189_210_201_233_243_237_239,7,7,0,0,0,0
210,323,210_201_233_244_34_33_31_358_40_50_20_23_73_22_329_89_279_323,18,10,7,0,1,0
188,51,188_189_210_201_233_244_34_33_31_358_40_49_365_47_44_51,16,12,4,0,0,0
235,400,235_231_233_243_236_400,6,4,0,1,1,0
308,155,308_235_231_232_199_207_146_147_149_225_152_153_155,13,13,0,0,0,0
246,240,246_30_235_231_233_243_237_239_240,9,8,0,0,1,0
93,233,93_77_75_308_235_231_233,7,6,0,1,0,0
91,239,91_85_312_348_83_77_75_308_235_231_233_243_237_239,14,14,0,0,0,0
91,239,91_85_312_348_83_77_75_308_235_231_233_243_237_239,14,14,0,0,0,0
91,199,91_85_312_348_83_77_75_308_235_231_232_199,12,12,0,0,0,0
235,225,235_231_232_199_207_146_147_149_225,9,9,0,0,0,0
235,256,235_231_232_199_207_146_147_149_225_152_153_154_156_164_256,15,11,0,4,0,0
165,393,165_175_160_168_167_393,6,0,6,0,0,0
165,393,165_175_160_168_167_393,6,0,6,0,0,0
235,155,235_231_232_199_207_146_147_149_225_152_153_155,12,12,0,0,0,0
317,239,317_315_303_272_306_387_398_386_91_85_312_348_83_77_75_308_235_231_233_243_237_239,22,22,0,0,0,0
180,393,180_418_249_165_175_160_168_167_393,9,0,9,0,0,0
418,393,418_249_165_175_160_168_167_393,8,0,8,0,0,0
235,155,235_231_232_199_207_146_147_149_225_152_153_155,12,12,0,0,0,0
177,240,177_178_188_189_210_201_233_243_237_239_240,11,10,0,0,1,0
231,155,231_232_199_207_146_147_149_225_152_153_155,11,11,0,0,0,0
231,155,231_232_199_207_146_147_149_225_152_153_155,11,11,0,0,0,0
249,393,249_165_175_160_168_167_393,7,0,7,0,0,0
165,393,165_175_160_168_167_393,6,0,6,0,0,0
