ori,des,path,len
270,82,270_267_262_315_303_272_306_387_398_386_91_85_312_348_82,15
346,323,346_170_370_169_375_157_158_177_178_188_189_210_201_233_244_34_33_31_358_40_50_20_23_73_22_329_89_279_323,29
411,202,411_413_185_222_213_295_202,7
391,89,391_345_169_375_157_158_177_178_188_189_210_201_233_244_34_33_31_358_40_50_20_23_73_22_329_89,26
414,202,414_248_411_413_185_222_213_295_202,9
391,239,391_345_169_375_157_158_177_178_188_189_210_201_233_243_237_239,16
49,9,49_365_48_41_378_382_353_1_127_409_70_56_9,13
415,187,415_250_335_158_177_178_187,7
391,393,391_345_169_375_157_158_177_178_188_190_192_181_313_183_180_418_249_165_175_160_168_167_393,23
93,404,93_76_79_81_117_300_389_388_404,9
391,240,391_345_169_375_157_158_177_178_188_189_210_201_233_243_237_239_240,17
211,393,211_154_156_165_175_160_168_167_393,9
346,163,346_170_370_169_375_156_164_256_163,9
331,13,331_52_361_0_367_352_247_13,8
